Ex3 Ex4 Ex5 Ex7a Ex7b Ex7c
0 0.00514986724164826 0.35584010775201 61 0.122939122146084 D
0 0.7481369932035 0.175256564375013 35 0.0192025065639834 B
0 0.00547267991324484 -0.267572381161153 29 0.0774468727200198 C
0 0.373522006510093 -0.0321171460440383 61 0.208554046650785 B
1 0.0612370028039066 0.155706214997917 50 0.0454375906025079 A
0 0.361863393394207 0.310269094537944 39 0.0725278326578132 C
0 0.0310724134994008 0.485397346923128 64 0.127479635581539 B
0 0.342043211449293 0.281693472806364 71 0.0732417462205887 C
0 0.0117142537570145 -0.351941441860981 48 0.0519483117005141 C
0 0.0865074709467556 -0.143340824148618 36 0.00965313545666538 B
1 0.00415070105641561 -0.171709372638725 37 0.282613201029827 C
0 0.11138339812746 0.336439098324627 31 0.508992162411707 B
0 0.0420730319957378 0.340873844828457 61 0.418570810241104 A
0 0.0858069712929505 -0.200041890121065 18 0.0585566057938419 B
0 0.00450491206025884 -0.251391758187674 15 0.0521143920332642 C
0 0.0852996950326722 -0.0351167483953759 42 0.0309013062932665 B
1 0.108618804843422 0.00398955275304613 32 0.0160046468476114 A
1 0.104085607469988 0.0693737443070859 32 0.0962724768968374 B
0 0.0307077772636866 0.0477218292886391 55 0.0399353158698507 C
1 0.0541964409307679 0.588983793603256 26 0.028249275398581 C
0 0.0773829620132865 0.285431857639924 38 0.175680575634801 A
1 0.00650960118430865 0.57144021098502 56 0.0955408294819006 C
0 0.246236712206971 0.37793820197694 35 0.000569986406312929 B
1 0.0515441295670309 -0.310804193583317 48 0.392925024826076 A
1 0.00904802066958737 -0.188979248260148 19 0.314210733303028 C
0 1.19491916799134 0.294567373534665 49 0.0729537439494304 C
0 0.00956920897825581 -0.346353454259224 23 0.0143381042317159 B
0 0.0994977436040966 -0.184866312053055 28 0.00207529964614404 B
1 0.0877373295095457 -0.353082242980599 25 0.0582669224448516 D
1 0.3457585514738 0.482439267681912 47 0.126000959803145 C
0 0.0109561859465363 -0.232226753933355 27 0.102250554580355 C
1 0.350359414551896 -0.0598988167243079 41 0.0504895462973477 A
0 0.151527721782977 0.457361427135766 37 0.158284599868323 B
1 0.0102861577536324 0.0689043349353596 56 0.0348433070139934 B
1 0.014483847900868 0.0363090011756867 45 0.0283868353150479 A
1 0.0178862396073785 -0.311316616926342 50 0.038803537784476 B
1 0.170136458895617 -0.00877142881508919 21 0.093334536514666 C
0 0.0836849562099936 0.0563149758614599 16 0.0896884939850193 B
0 0.0961736855470544 -0.103797794296406 23 0.00964191007218388 C
0 0.00619888989746527 0.323577598761767 23 0.0205142092444513 B
0 0.555340270363373 -0.0993277313886211 56 0.0152765710085426 A
1 0.718107247324861 -0.263096085144207 31 0.314269748384296 C
1 0.0799351574593421 0.419605239573866 36 0.0676604665254485 B
0 0.0724557285301245 -0.345234969025478 24 0.204234166084825 C
0 0.0012358653741703 0.543406926328316 39 0.0146761817687249 B
1 0.0206240483932841 0.00388556658290327 20 0.0832207777779805 B
1 0.113574566205369 -0.154181893309578 32 0.292794927611589 A
1 0.066992208337183 0.0652176783420145 55 0.00678268554684234 C
1 0.676804551382402 0.49400038998574 41 0.00902682242991581 C
1 0.00028501710319188 -0.350940140406601 44 0.0422891138597344 C
1 0.00801612871260597 0.366930091800168 39 0.0689046118689114 C
0 0.181139658443746 0.0221022123238072 44 0.0224289617003643 C
1 0.00738999155615122 0.0285132584162056 54 0.180690934850298 D
0 0.000269665108932964 -0.0927786158630625 36 0.137140554408465 D
0 0.16093382762887 -0.351515539665706 76 0.493844180811154 B
1 0.064719929991645 0.124301229603589 50 0.0932158460866098 A
0 0.113328101503922 -0.0532383557641879 57 0.132313745779495 D
1 0.533040151778207 0.499630490178242 54 0.0657619678172959 C
0 0.0494955220957177 0.540623826021329 37 0.0243667539923567 D
1 3.84711475622411e-05 0.408501981105655 55 0.184233755964696 B
0 0.0683262529037486 0.0266268135979771 34 0.00828592336341126 C
0 0.277468459955399 0.085964915365912 57 0.189816641475201 B
0 0.290875875364478 0.426074500568211 35 0.155392908482387 C
1 0.118609973220163 0.00106965659651903 39 0.221075517407349 C
0 0.0615582771064905 -0.364352274080738 35 0.00443979743321626 A
1 0.394754704803536 -0.38054996447172 37 0.000399761970942553 B
1 0.00620601625753728 -0.142784369271249 27 0.252370419198849 A
1 0.301247818660894 0.370497111277655 57 0.197519666363445 B
0 0.00574532061200623 -0.325461781211197 13 0.382845697722866 D
0 0.110434162634213 0.392685949103907 36 0.0112372576195287 B
0 0.180428622608035 -0.348266200837679 56 0.0270451463915231 B
0 0.0137648525177509 0.187527555087581 40 0.100271194427554 B
0 0.0415543851445465 0.149736533733085 43 0.177902714790099 C
0 0.221863893970205 -0.315131169138476 74 0.215768618625242 C
0 0.066547620412094 0.130354240676388 63 0.0119491184308921 A
1 0.0472822471278927 -0.221278176619671 43 0.119781908739824 A
0 0.0224897649163696 -0.0122453098651022 40 0.1559202838368 A
0 0.13419017695989 0.427142061246559 64 0.00669775559969598 B
1 0.247270788557573 0.0519612909760326 27 0.203534689248346 B
1 0.201405063883283 -0.303682088246569 28 0.117296568584321 C
1 0.0868920130007897 0.146040258742869 51 0.0986596308908474 C
0 0.0911582507291357 0.574192583933473 39 0.0399326577093707 B
0 0.00963426188289721 0.297469374909997 47 0.0359813765660949 B
1 0.0508837251896362 -0.387770971143618 41 0.119078540244057 B
1 0.00243010109162895 0.531642207736149 31 0.0442021787932066 B
1 0.641679275016542 -0.363940908084624 45 0.113145551472659 A
1 0.359458560350181 0.028547801496461 39 0.118790782058208 D
1 0.627667417931595 0.528232253808528 31 0.369955856233718 C
0 0.108867042363063 0.000685957353562117 41 0.160861315761284 B
0 0.0897811371639533 0.251704299682751 24 0.214957774254067 A
1 0.15676859405531 0.436699308687821 54 0.236997546693155 B
1 0.0741337569349959 0.481033795885742 35 0.245920407389898 B
1 0.017760348032239 -0.0175580283161253 47 0.0141710910486848 B
1 0.00463247983691282 -0.300866517447867 33 0.00279980947659032 B
1 0.014018525757242 0.253831232059747 40 0.0782041894016813 C
0 0.0542252264617542 -0.161231479467824 35 0.640167963898927 C
0 0.062939097843325 -0.0269873451674357 48 0.0145195641326598 C
1 0.0103312381347051 0.0110726193757728 60 0.450248532484499 A
0 0.0526380940296226 0.0581683037104085 46 0.203917689916127 A
1 0.617715713832091 -0.0625423778314144 43 0.109083388660552 B
0 0.241902334217363 -0.0924148452235386 30 0.38066193561179 B
0 0.0279765288052023 0.443563559604809 31 1.04959690120528 C
0 0.0035183878970564 0.039160811365582 35 0.183372253622872 D
0 0.105853244153437 -0.302574505889788 45 0.00722780766297285 A
0 0.00344288228211396 0.269044963130727 30 0.0693043404297061 B
0 0.0679377407762884 0.250859499396756 24 0.00330276971437306 C
0 0.0174277958049794 0.279703808482736 42 0.257785271790668 C
1 0.392837103993664 -0.233773614140227 49 0.408238856356633 B
0 0.0804628985745638 0.434715280355886 30 0.185472741709676 B
0 0.568032701543402 0.0322166019119322 28 0.0302416501464705 C
0 0.0269419268761703 -0.104751523560844 27 0.0299911793602044 C
0 0.0668630874688394 0.369315207051113 50 0.398804037107024 B
0 0.211171767289185 -0.190886192466132 32 0.0408360718634643 D
1 0.349438312233069 -0.315374634671025 29 0.0294140059092682 B
0 0.077844844611322 0.414603563491255 42 0.327449230944748 C
0 0.0449001359163914 0.0985221389215439 49 0.123910625548764 B
0 0.0309179699403173 -0.361844314704649 57 0.0404810008613538 B
0 0.0757290582693844 -0.0258695969590917 32 0.23310529832432 B
1 0.551013920201245 -0.102339909854345 32 0.0892052692297387 B
0 0.143797773577411 0.0246130746323615 39 0.079527814451554 C
0 0.181167605648225 -0.337866016640328 47 0.275119564752386 B
0 0.0519610092040661 -0.338300113659352 51 0.0381133546542427 B
1 0.177401091570317 0.587832459434867 22 0.0497225707728569 B
1 0.303180601533184 0.171464090980589 31 0.200564403728967 D
0 0.249691012752144 0.38588880370371 75 0.30411324948216 B
1 0.0188125890305265 0.358629729319364 46 0.130488765860154 C
1 0.71579655154531 -0.257173240859993 52 0.0436647949858945 C
0 0.2313652885524 0.0400516604539007 38 0.400873223577303 C
0 0.0276563953451684 -0.0436243207426742 43 0.183523771130428 C
0 0.219686031838802 -0.319186259037815 36 0.0410045343387413 A
